literature,R2%,setup,Stt,Sinc,Sig,Hs(80m or offshore),Tp,tan,D50,dataset,Hs0,L0
POATE2016,4.303947813,NAN,NAN,NAN,NAN,3.126233333,7.69,0.110009137,3,LOEBAR,3.126233333,92.29825426
POATE2016,4.687242434,NAN,NAN,NAN,NAN,3.126233333,7.69,0.110009137,3,LOEBAR,3.126233333,92.29825426
POATE2016,4.191484292,NAN,NAN,NAN,NAN,3.126233333,7.69,0.110009137,3,LOEBAR,3.126233333,92.29825426
POATE2016,4.316361125,NAN,NAN,NAN,NAN,3.3048,7.289416667,0.110054491,3,LOEBAR,3.3048,82.93280568
POATE2016,4.596128886,NAN,NAN,NAN,NAN,3.3048,7.289416667,0.110054491,3,LOEBAR,3.3048,82.93280568
POATE2016,4.38032757,NAN,NAN,NAN,NAN,3.3048,7.289416667,0.110054491,3,LOEBAR,3.3048,82.93280568
POATE2016,4.466242712,NAN,NAN,NAN,NAN,3.3048,7.289416667,0.110054491,3,LOEBAR,3.3048,82.93280568
POATE2016,4.636902906,NAN,NAN,NAN,NAN,3.358133333,7.911333337,0.109980806,3,LOEBAR,3.358133333,97.68776516
POATE2016,4.194125665,NAN,NAN,NAN,NAN,3.358133333,7.911333337,0.109980806,3,LOEBAR,3.358133333,97.68776516
POATE2016,4.022450342,NAN,NAN,NAN,NAN,3.358133333,7.911333337,0.109980806,3,LOEBAR,3.358133333,97.68776516
POATE2016,4.122710281,NAN,NAN,NAN,NAN,3.358133333,7.911333337,0.109980806,3,LOEBAR,3.358133333,97.68776516
POATE2016,4.57181616,NAN,NAN,NAN,NAN,3.337511111,9.179600005,0.109760523,3,LOEBAR,3.337511111,131.5189467
POATE2016,4.467936598,NAN,NAN,NAN,NAN,3.337511111,9.179600005,0.109760523,3,LOEBAR,3.337511111,131.5189467
POATE2016,4.26115716,NAN,NAN,NAN,NAN,3.337511111,9.179600005,0.109760523,3,LOEBAR,3.337511111,131.5189467
POATE2016,4.295068843,NAN,NAN,NAN,NAN,3.337511111,9.179600005,0.109760523,3,LOEBAR,3.337511111,131.5189467
POATE2016,4.93105449,NAN,NAN,NAN,NAN,3.310622222,10.1476,0.109407562,3,LOEBAR,3.310622222,160.7190981
POATE2016,4.360875664,NAN,NAN,NAN,NAN,3.693144444,8.420444445,0.108371315,3,LOEBAR,3.693144444,110.6651398
POATE2016,4.46094682,NAN,NAN,NAN,NAN,3.693144444,8.420444445,0.108371315,3,LOEBAR,3.693144444,110.6651398
POATE2016,4.730644611,NAN,NAN,NAN,NAN,3.872644445,8.805422223,0.108407057,3,LOEBAR,3.872644445,121.0155497
POATE2016,4.926771705,NAN,NAN,NAN,NAN,3.872644445,8.805422223,0.108407057,3,LOEBAR,3.872644445,121.0155497
POATE2016,4.196490512,NAN,NAN,NAN,NAN,4.060761112,8.867488886,0.10867957,3,LOEBAR,4.060761112,122.7275637
POATE2016,4.79340937,NAN,NAN,NAN,NAN,4.060761112,8.867488886,0.10867957,3,LOEBAR,4.060761112,122.7275637
POATE2016,4.471337234,NAN,NAN,NAN,NAN,4.060761112,8.867488886,0.10867957,3,LOEBAR,4.060761112,122.7275637
POATE2016,4.67621341,NAN,NAN,NAN,NAN,4.060761112,8.867488886,0.10867957,3,LOEBAR,4.060761112,122.7275637
POATE2016,4.736776985,NAN,NAN,NAN,NAN,4.289011111,9.082427773,0.108407671,3,LOEBAR,4.289011111,128.7492515
POATE2016,4.928320303,NAN,NAN,NAN,NAN,4.289011111,9.082427773,0.108407671,3,LOEBAR,4.289011111,128.7492515
POATE2016,4.533773912,NAN,NAN,NAN,NAN,4.289011111,9.082427773,0.108407671,3,LOEBAR,4.289011111,128.7492515
POATE2016,4.530054136,NAN,NAN,NAN,NAN,4.289011111,9.082427773,0.108407671,3,LOEBAR,4.289011111,128.7492515
POATE2016,4.612659239,NAN,NAN,NAN,NAN,4.289011111,9.082427773,0.108407671,3,LOEBAR,4.289011111,128.7492515
POATE2016,4.094629644,NAN,NAN,NAN,NAN,4.290622223,10,0.108407671,3,LOEBAR,4.290622223,156.0776823
POATE2016,4.735493903,NAN,NAN,NAN,NAN,4.290622223,10,0.108407671,3,LOEBAR,4.290622223,156.0776823
POATE2016,4.990771239,NAN,NAN,NAN,NAN,4.290622223,10,0.108407671,3,LOEBAR,4.290622223,156.0776823
POATE2016,4.365356638,NAN,NAN,NAN,NAN,4.290622223,10,0.108407671,3,LOEBAR,4.290622223,156.0776823
POATE2016,4.651032105,NAN,NAN,NAN,NAN,4.290622223,10,0.108407671,3,LOEBAR,4.290622223,156.0776823
POATE2016,4.819703537,NAN,NAN,NAN,NAN,4.303527778,9.754805554,0.108246199,3,LOEBAR,4.303527778,148.5176405
POATE2016,4.851538318,NAN,NAN,NAN,NAN,4.303527778,9.754805554,0.108246199,3,LOEBAR,4.303527778,148.5176405
POATE2016,4.901667289,NAN,NAN,NAN,NAN,4.303527778,9.754805554,0.108246199,3,LOEBAR,4.303527778,148.5176405
POATE2016,4.567344471,NAN,NAN,NAN,NAN,4.303527778,9.754805554,0.108246199,3,LOEBAR,4.303527778,148.5176405
POATE2016,4.543198369,NAN,NAN,NAN,NAN,4.303527778,9.754805554,0.108246199,3,LOEBAR,4.303527778,148.5176405
POATE2016,4.486056629,NAN,NAN,NAN,NAN,4.303527778,9.754805554,0.108246199,3,LOEBAR,4.303527778,148.5176405
POATE2016,4.665077424,NAN,NAN,NAN,NAN,4.498827777,9.181505557,0.1078453,3,LOEBAR,4.498827777,131.5735553
POATE2016,5.274928142,NAN,NAN,NAN,NAN,4.498827777,9.181505557,0.1078453,3,LOEBAR,4.498827777,131.5735553
POATE2016,4.697743031,NAN,NAN,NAN,NAN,4.498827777,9.181505557,0.1078453,3,LOEBAR,4.498827777,131.5735553
POATE2016,4.600228835,NAN,NAN,NAN,NAN,4.498827777,9.181505557,0.1078453,3,LOEBAR,4.498827777,131.5735553
POATE2016,4.936759753,NAN,NAN,NAN,NAN,4.498827777,9.181505557,0.1078453,3,LOEBAR,4.498827777,131.5735553
POATE2016,4.81320504,NAN,NAN,NAN,NAN,4.558361111,9.09,0.107406724,3,LOEBAR,4.558361111,128.9640234
POATE2016,5.409920658,NAN,NAN,NAN,NAN,4.558361111,9.09,0.107406724,3,LOEBAR,4.558361111,128.9640234
POATE2016,4.806634029,NAN,NAN,NAN,NAN,4.558361111,9.09,0.107406724,3,LOEBAR,4.558361111,128.9640234
POATE2016,5.039325457,NAN,NAN,NAN,NAN,4.558361111,9.09,0.107406724,3,LOEBAR,4.558361111,128.9640234
POATE2016,5.136103233,NAN,NAN,NAN,NAN,4.558361111,9.09,0.107406724,3,LOEBAR,4.558361111,128.9640234
POATE2016,4.465490877,NAN,NAN,NAN,NAN,4.649222223,9.09,0.107406724,3,LOEBAR,4.649222223,128.9640234
POATE2016,5.079132803,NAN,NAN,NAN,NAN,4.649222223,9.09,0.107406724,3,LOEBAR,4.649222223,128.9640234
POATE2016,5.259580548,NAN,NAN,NAN,NAN,4.649222223,9.09,0.107406724,3,LOEBAR,4.649222223,128.9640234
POATE2016,4.78132214,NAN,NAN,NAN,NAN,4.649222223,9.09,0.107406724,3,LOEBAR,4.649222223,128.9640234
POATE2016,4.490910293,NAN,NAN,NAN,NAN,4.649222223,9.09,0.107406724,3,LOEBAR,4.649222223,128.9640234
POATE2016,4.65438997,NAN,NAN,NAN,NAN,4.649222223,9.09,0.107406724,3,LOEBAR,4.649222223,128.9640234
POATE2016,4.787387443,NAN,NAN,NAN,NAN,4.922622222,9.276288894,0.107406724,3,LOEBAR,4.922622222,134.3041208
POATE2016,5.274420707,NAN,NAN,NAN,NAN,4.922622222,9.276288894,0.107406724,3,LOEBAR,4.922622222,134.3041208
POATE2016,5.346977565,NAN,NAN,NAN,NAN,4.922622222,9.276288894,0.107406724,3,LOEBAR,4.922622222,134.3041208
POATE2016,4.614044391,NAN,NAN,NAN,NAN,4.922622222,9.276288894,0.107406724,3,LOEBAR,4.922622222,134.3041208
POATE2016,5.004677049,NAN,NAN,NAN,NAN,4.922622222,9.276288894,0.107406724,3,LOEBAR,4.922622222,134.3041208
POATE2016,5.10980255,NAN,NAN,NAN,NAN,4.922622222,9.276288894,0.107406724,3,LOEBAR,4.922622222,134.3041208
POATE2016,4.553153034,NAN,NAN,NAN,NAN,4.869111111,10.62744444,0.107243762,3,LOEBAR,4.869111111,176.278154
POATE2016,4.88774498,NAN,NAN,NAN,NAN,4.869111111,10.62744444,0.107243762,3,LOEBAR,4.869111111,176.278154
POATE2016,4.382572519,NAN,NAN,NAN,NAN,4.869111111,10.62744444,0.107243762,3,LOEBAR,4.869111111,176.278154
POATE2016,4.95793879,NAN,NAN,NAN,NAN,4.869111111,10.62744444,0.107243762,3,LOEBAR,4.869111111,176.278154
POATE2016,5.103702893,NAN,NAN,NAN,NAN,5.085583334,10.63455,0.107406724,3,LOEBAR,5.085583334,176.5139535
POATE2016,4.960978939,NAN,NAN,NAN,NAN,5.085583334,10.63455,0.107406724,3,LOEBAR,5.085583334,176.5139535
POATE2016,5.261620546,NAN,NAN,NAN,NAN,5.085583334,10.63455,0.107406724,3,LOEBAR,5.085583334,176.5139535
POATE2016,5.125578045,NAN,NAN,NAN,NAN,5.085583334,10.63455,0.107406724,3,LOEBAR,5.085583334,176.5139535
POATE2016,5.230591967,NAN,NAN,NAN,NAN,5.400955556,10.05064444,0.107083048,3,LOEBAR,5.400955556,157.6625789
POATE2016,5.31505676,NAN,NAN,NAN,NAN,5.400955556,10.05064444,0.107083048,3,LOEBAR,5.400955556,157.6625789
POATE2016,5.434533929,NAN,NAN,NAN,NAN,5.400955556,10.05064444,0.107083048,3,LOEBAR,5.400955556,157.6625789
POATE2016,5.433731224,NAN,NAN,NAN,NAN,5.400955556,10.05064444,0.107083048,3,LOEBAR,5.400955556,157.6625789
POATE2016,5.039241925,NAN,NAN,NAN,NAN,5.400955556,10.05064444,0.107083048,3,LOEBAR,5.400955556,157.6625789
POATE2016,5.337609939,NAN,NAN,NAN,NAN,5.409988889,10.52941111,0.1078453,3,LOEBAR,5.409988889,173.0409826
POATE2016,5.953320778,NAN,NAN,NAN,NAN,5.409988889,10.52941111,0.1078453,3,LOEBAR,5.409988889,173.0409826
POATE2016,5.562748145,NAN,NAN,NAN,NAN,5.409988889,10.52941111,0.1078453,3,LOEBAR,5.409988889,173.0409826
POATE2016,5.192586017,NAN,NAN,NAN,NAN,5.409988889,10.52941111,0.1078453,3,LOEBAR,5.409988889,173.0409826
POATE2016,5.917620492,NAN,NAN,NAN,NAN,5.409988889,10.52941111,0.1078453,3,LOEBAR,5.409988889,173.0409826
POATE2016,5.152640105,NAN,NAN,NAN,NAN,5.689533333,10.17725556,0.107606973,3,LOEBAR,5.689533333,161.6598484
POATE2016,5.276479639,NAN,NAN,NAN,NAN,5.689533333,10.17725556,0.107606973,3,LOEBAR,5.689533333,161.6598484
POATE2016,5.338519671,NAN,NAN,NAN,NAN,5.683577778,10,0.108087033,3,LOEBAR,5.683577778,156.0776823
POATE2016,5.403838531,NAN,NAN,NAN,NAN,5.683577778,10,0.108087033,3,LOEBAR,5.683577778,156.0776823
POATE2016,5.956880919,NAN,NAN,NAN,NAN,5.683577778,10,0.108087033,3,LOEBAR,5.683577778,156.0776823
POATE2016,5.16004673,NAN,NAN,NAN,NAN,5.389888889,10.00061666,0.108760627,3,LOEBAR,5.389888889,156.0969323
POATE2016,5.473577322,NAN,NAN,NAN,NAN,5.389888889,10.00061666,0.108760627,3,LOEBAR,5.389888889,156.0969323
POATE2016,5.175953689,NAN,NAN,NAN,NAN,5.389888889,10.00061666,0.108760627,3,LOEBAR,5.389888889,156.0969323
POATE2016,5.35794474,NAN,NAN,NAN,NAN,5.389888889,10.00061666,0.108760627,3,LOEBAR,5.389888889,156.0969323
POATE2016,5.484171429,NAN,NAN,NAN,NAN,5.389888889,10.00061666,0.108760627,3,LOEBAR,5.389888889,156.0969323
POATE2016,5.377686445,NAN,NAN,NAN,NAN,5.15775,11.11,0.108387358,3,LOEBAR,5.15775,192.6499609
POATE2016,5.921738295,NAN,NAN,NAN,NAN,5.15775,11.11,0.108387358,3,LOEBAR,5.15775,192.6499609
POATE2016,5.484856472,NAN,NAN,NAN,NAN,5.15775,11.11,0.108387358,3,LOEBAR,5.15775,192.6499609
POATE2016,4.541426323,NAN,NAN,NAN,NAN,2.601344445,11.11,0.109936558,3,LOEBAR,2.601344445,192.6499609
POATE2016,4.839646436,NAN,NAN,NAN,NAN,2.601344445,11.11,0.109936558,3,LOEBAR,2.601344445,192.6499609
POATE2016,5.199646561,NAN,NAN,NAN,NAN,2.601344445,11.11,0.109936558,3,LOEBAR,2.601344445,192.6499609
POATE2016,4.499965326,NAN,NAN,NAN,NAN,2.601344445,11.11,0.109936558,3,LOEBAR,2.601344445,192.6499609
POATE2016,4.668199013,NAN,NAN,NAN,NAN,2.601344445,11.11,0.109936558,3,LOEBAR,2.601344445,192.6499609
POATE2016,4.508468289,NAN,NAN,NAN,NAN,2.450066667,10.94373333,0.109936558,3,LOEBAR,2.450066667,186.9269033
POATE2016,4.995505273,NAN,NAN,NAN,NAN,2.450066667,10.94373333,0.109936558,3,LOEBAR,2.450066667,186.9269033
POATE2016,4.7046643,NAN,NAN,NAN,NAN,2.450066667,10.94373333,0.109936558,3,LOEBAR,2.450066667,186.9269033
POATE2016,3.979923755,NAN,NAN,NAN,NAN,2.450066667,10.94373333,0.109936558,3,LOEBAR,2.450066667,186.9269033
POATE2016,3.831650803,NAN,NAN,NAN,NAN,2.450066667,10.94373333,0.109936558,3,LOEBAR,2.450066667,186.9269033
POATE2016,4.261312014,NAN,NAN,NAN,NAN,2.335,10.8896,0.109936558,3,LOEBAR,2.335,185.0822038
POATE2016,4.82087918,NAN,NAN,NAN,NAN,2.335,10.8896,0.109936558,3,LOEBAR,2.335,185.0822038
POATE2016,4.77465016,NAN,NAN,NAN,NAN,2.335,10.8896,0.109936558,3,LOEBAR,2.335,185.0822038
POATE2016,4.626338449,NAN,NAN,NAN,NAN,2.335,10.8896,0.109936558,3,LOEBAR,2.335,185.0822038
POATE2016,4.251722275,NAN,NAN,NAN,NAN,2.192899999,10.53,0.109971696,3,LOEBAR,2.192899999,173.0603388
POATE2016,4.751827063,NAN,NAN,NAN,NAN,2.192899999,10.53,0.109971696,3,LOEBAR,2.192899999,173.0603388
POATE2016,4.739143504,NAN,NAN,NAN,NAN,2.192899999,10.53,0.109971696,3,LOEBAR,2.192899999,173.0603388
POATE2016,4.393229784,NAN,NAN,NAN,NAN,2.37305,10.53,0.110033682,3,LOEBAR,2.37305,173.0603388
POATE2016,4.463615835,NAN,NAN,NAN,NAN,2.37305,10.53,0.110033682,3,LOEBAR,2.37305,173.0603388
POATE2016,4.65893641,NAN,NAN,NAN,NAN,2.37305,10.53,0.110033682,3,LOEBAR,2.37305,173.0603388
POATE2016,4.555536,NAN,NAN,NAN,NAN,2.37305,10.53,0.110033682,3,LOEBAR,2.37305,173.0603388
POATE2016,4.679862919,NAN,NAN,NAN,NAN,2.37305,10.53,0.110033682,3,LOEBAR,2.37305,173.0603388
POATE2016,4.314845546,NAN,NAN,NAN,NAN,2.350622222,10.53,0.109970259,3,LOEBAR,2.350622222,173.0603388
POATE2016,3.902452239,NAN,NAN,NAN,NAN,2.350622222,10.53,0.109970259,3,LOEBAR,2.350622222,173.0603388
POATE2016,4.139432014,NAN,NAN,NAN,NAN,2.350622222,10.53,0.109970259,3,LOEBAR,2.350622222,173.0603388
POATE2016,4.180751397,NAN,NAN,NAN,NAN,2.350622222,10.53,0.109970259,3,LOEBAR,2.350622222,173.0603388
POATE2016,4.44792193,NAN,NAN,NAN,NAN,2.1755,10.3212,0.109992521,3,LOEBAR,2.1755,166.265137
POATE2016,4.065954289,NAN,NAN,NAN,NAN,2.1755,10.3212,0.109992521,3,LOEBAR,2.1755,166.265137
POATE2016,4.1923581,NAN,NAN,NAN,NAN,2.1755,10.3212,0.109992521,3,LOEBAR,2.1755,166.265137
POATE2016,4.637296374,NAN,NAN,NAN,NAN,2.1755,10.3212,0.109992521,3,LOEBAR,2.1755,166.265137
POATE2016,3.985929243,NAN,NAN,NAN,NAN,2.108833333,9.361200001,0.110019956,3,LOEBAR,2.108833333,136.7740967
POATE2016,4.22727278,NAN,NAN,NAN,NAN,2.108833333,9.361200001,0.110019956,3,LOEBAR,2.108833333,136.7740967
POATE2016,4.278271573,NAN,NAN,NAN,NAN,2.108833333,9.361200001,0.110019956,3,LOEBAR,2.108833333,136.7740967
POATE2016,4.194765144,NAN,NAN,NAN,NAN,2.108833333,9.361200001,0.110019956,3,LOEBAR,2.108833333,136.7740967
POATE2016,3.567469782,NAN,NAN,NAN,NAN,2.1331,9.7796,0.110228526,3,LOEBAR,2.1331,149.2735946
POATE2016,4.321469037,NAN,NAN,NAN,NAN,2.1331,9.7796,0.110228526,3,LOEBAR,2.1331,149.2735946
POATE2016,3.823467115,NAN,NAN,NAN,NAN,2.1331,9.7796,0.110228526,3,LOEBAR,2.1331,149.2735946
POATE2016,4.117412097,NAN,NAN,NAN,NAN,2.1331,9.7796,0.110228526,3,LOEBAR,2.1331,149.2735946
POATE2016,4.740533844,NAN,NAN,NAN,NAN,2.1331,9.7796,0.110228526,3,LOEBAR,2.1331,149.2735946
POATE2016,3.812311113,NAN,NAN,NAN,NAN,2.217988888,10.45256111,0.110113457,3,LOEBAR,2.217988888,170.5242853
POATE2016,4.045552097,NAN,NAN,NAN,NAN,2.217988888,10.45256111,0.110113457,3,LOEBAR,2.217988888,170.5242853
POATE2016,4.176094756,NAN,NAN,NAN,NAN,2.217988888,10.45256111,0.110113457,3,LOEBAR,2.217988888,170.5242853
POATE2016,3.857498683,NAN,NAN,NAN,NAN,2.391755556,10.09834444,0.109998854,3,LOEBAR,2.391755556,159.1626521
POATE2016,3.483529673,NAN,NAN,NAN,NAN,2.391755556,10.09834444,0.109998854,3,LOEBAR,2.391755556,159.1626521
POATE2016,3.847120316,NAN,NAN,NAN,NAN,2.391755556,10.09834444,0.109998854,3,LOEBAR,2.391755556,159.1626521
POATE2016,3.718444315,NAN,NAN,NAN,NAN,2.391755556,10.09834444,0.109998854,3,LOEBAR,2.391755556,159.1626521
POATE2016,3.720066957,NAN,NAN,NAN,NAN,2.580833333,10.29856667,0.109260973,3,LOEBAR,2.580833333,165.5367318
POATE2016,4.239931458,NAN,NAN,NAN,NAN,2.580833333,10.29856667,0.109260973,3,LOEBAR,2.580833333,165.5367318
POATE2016,3.600364606,NAN,NAN,NAN,NAN,2.580833333,10.29856667,0.109260973,3,LOEBAR,2.580833333,165.5367318
POATE2016,3.696774367,NAN,NAN,NAN,NAN,2.580833333,10.29856667,0.109260973,3,LOEBAR,2.580833333,165.5367318
POATE2016,3.645016407,NAN,NAN,NAN,NAN,2.580833333,10.29856667,0.109260973,3,LOEBAR,2.580833333,165.5367318
POATE2016,3.996314409,NAN,NAN,NAN,NAN,2.609305555,10.66372222,0.109128048,3,LOEBAR,2.609305555,177.4836921
POATE2016,3.906219554,NAN,NAN,NAN,NAN,2.609305555,10.66372222,0.109128048,3,LOEBAR,2.609305555,177.4836921
POATE2016,3.989520734,NAN,NAN,NAN,NAN,2.609305555,10.66372222,0.109128048,3,LOEBAR,2.609305555,177.4836921
POATE2016,3.849400955,NAN,NAN,NAN,NAN,2.609305555,10.66372222,0.109128048,3,LOEBAR,2.609305555,177.4836921
POATE2016,3.77083259,NAN,NAN,NAN,NAN,2.609305555,10.66372222,0.109128048,3,LOEBAR,2.609305555,177.4836921
POATE2016,3.306710614,NAN,NAN,NAN,NAN,2.375972223,11.05038889,0.109290982,3,LOEBAR,2.375972223,190.5881662
POATE2016,4.050327618,NAN,NAN,NAN,NAN,2.375972223,11.05038889,0.109290982,3,LOEBAR,2.375972223,190.5881662
POATE2016,3.39971648,NAN,NAN,NAN,NAN,2.375972223,11.05038889,0.109290982,3,LOEBAR,2.375972223,190.5881662
POATE2016,3.442330769,NAN,NAN,NAN,NAN,2.375972223,11.05038889,0.109290982,3,LOEBAR,2.375972223,190.5881662
POATE2016,3.810516695,NAN,NAN,NAN,NAN,2.375972223,11.05038889,0.109290982,3,LOEBAR,2.375972223,190.5881662
POATE2016,3.917687689,NAN,NAN,NAN,NAN,2.366388889,10.80388889,0.109290982,3,LOEBAR,2.366388889,182.1801374
POATE2016,3.526094965,NAN,NAN,NAN,NAN,2.366388889,10.80388889,0.109290982,3,LOEBAR,2.366388889,182.1801374
POATE2016,4.155264443,NAN,NAN,NAN,NAN,2.366388889,10.80388889,0.109290982,3,LOEBAR,2.366388889,182.1801374
POATE2016,3.861500076,NAN,NAN,NAN,NAN,2.366388889,10.80388889,0.109290982,3,LOEBAR,2.366388889,182.1801374
POATE2016,3.198308793,NAN,NAN,NAN,NAN,2.4056,10.53,0.109299366,3,LOEBAR,2.4056,173.0603388
POATE2016,3.797491828,NAN,NAN,NAN,NAN,2.4056,10.53,0.109299366,3,LOEBAR,2.4056,173.0603388
POATE2016,3.413353649,NAN,NAN,NAN,NAN,2.419066667,10.71463333,0.109299366,3,LOEBAR,2.419066667,179.1824351
POATE2016,4.2111751,NAN,NAN,NAN,NAN,2.419066667,10.71463333,0.109299366,3,LOEBAR,2.419066667,179.1824351
POATE2016,3.614981558,NAN,NAN,NAN,NAN,2.419066667,10.71463333,0.109299366,3,LOEBAR,2.419066667,179.1824351
POATE2016,3.408974681,NAN,NAN,NAN,NAN,2.3124,11.1013,0.109684399,3,LOEBAR,2.3124,192.3483589
POATE2016,3.579387389,NAN,NAN,NAN,NAN,2.3124,11.1013,0.109684399,3,LOEBAR,2.3124,192.3483589
POATE2016,3.352041737,NAN,NAN,NAN,NAN,2.3124,11.1013,0.109684399,3,LOEBAR,2.3124,192.3483589
POATE2016,3.742338025,NAN,NAN,NAN,NAN,2.4275,10.38541667,0.109694224,3,LOEBAR,2.4275,168.3405175
POATE2016,3.798475839,NAN,NAN,NAN,NAN,2.4275,10.38541667,0.109694224,3,LOEBAR,2.4275,168.3405175
POATE2016,3.497865742,NAN,NAN,NAN,NAN,2.4275,10.38541667,0.109694224,3,LOEBAR,2.4275,168.3405175
POATE2016,3.252651272,NAN,NAN,NAN,NAN,2.4932,10.1696,0.109996488,3,LOEBAR,2.4932,161.4167317
POATE2016,3.653776127,NAN,NAN,NAN,NAN,2.4932,10.1696,0.109996488,3,LOEBAR,2.4932,161.4167317
POATE2016,3.90701164,NAN,NAN,NAN,NAN,2.4932,10.1696,0.109996488,3,LOEBAR,2.4932,161.4167317
POATE2016,3.947998912,NAN,NAN,NAN,NAN,2.4932,10.1696,0.109996488,3,LOEBAR,2.4932,161.4167317
POATE2016,3.56871318,NAN,NAN,NAN,NAN,2.499877778,10.52352222,0.110098047,3,LOEBAR,2.499877778,172.84748
POATE2016,3.828456984,NAN,NAN,NAN,NAN,2.499877778,10.52352222,0.110098047,3,LOEBAR,2.499877778,172.84748
POATE2016,3.787847084,NAN,NAN,NAN,NAN,2.499877778,10.52352222,0.110098047,3,LOEBAR,2.499877778,172.84748
POATE2016,3.635541558,NAN,NAN,NAN,NAN,3.49,8.3,0.109118836,3,LOEBAR,3.49,107.5219153
POATE2016,3.514102271,NAN,NAN,NAN,NAN,3.276988889,8.3,0.108532116,3,LOEBAR,3.276988889,107.5219153
POATE2016,4.368148765,NAN,NAN,NAN,NAN,3.276988889,8.3,0.108532116,3,LOEBAR,3.276988889,107.5219153
POATE2016,2.845734596,NAN,NAN,NAN,NAN,3.276988889,8.3,0.108532116,3,LOEBAR,3.276988889,107.5219153
POATE2016,3.831656781,NAN,NAN,NAN,NAN,3.09915,8.3,0.108260856,3,LOEBAR,3.09915,107.5219153
POATE2016,4.275111527,NAN,NAN,NAN,NAN,3.09915,8.3,0.108260856,3,LOEBAR,3.09915,107.5219153
POATE2016,2.884397673,NAN,NAN,NAN,NAN,3.09915,8.3,0.108260856,3,LOEBAR,3.09915,107.5219153
POATE2016,7.527529998,NAN,NAN,NAN,NAN,4.23,20,0.120503114,3,LOEBAR,4.23,624.3107291
POATE2016,6.640214457,NAN,NAN,NAN,NAN,4.23,20,0.120503114,3,LOEBAR,4.23,624.3107291
POATE2016,7.016565082,NAN,NAN,NAN,NAN,4.36,10.49999999,0.116280863,3,LOEBAR,4.36,172.0756443
POATE2016,7.582931486,NAN,NAN,NAN,NAN,4.36,10.49999999,0.116280863,3,LOEBAR,4.36,172.0756443
POATE2016,6.521939247,NAN,NAN,NAN,NAN,4.36,10.49999999,0.116280863,3,LOEBAR,4.36,172.0756443
POATE2016,7.293719963,NAN,NAN,NAN,NAN,4.634672222,13.24672222,0.114009584,3,LOEBAR,4.634672222,273.8783268
POATE2016,6.998510793,NAN,NAN,NAN,NAN,4.634672222,13.24672222,0.114009584,3,LOEBAR,4.634672222,273.8783268
POATE2016,6.481009903,NAN,NAN,NAN,NAN,4.634672222,13.24672222,0.114009584,3,LOEBAR,4.634672222,273.8783268
POATE2016,7.763137897,NAN,NAN,NAN,NAN,4.868083333,14.88161111,0.111737676,3,LOEBAR,4.868083333,345.6533018
POATE2016,6.892510684,NAN,NAN,NAN,NAN,4.868083333,14.88161111,0.111737676,3,LOEBAR,4.868083333,345.6533018
POATE2016,7.336693328,NAN,NAN,NAN,NAN,4.868083333,14.88161111,0.111737676,3,LOEBAR,4.868083333,345.6533018
POATE2016,7.475094371,NAN,NAN,NAN,NAN,4.999999999,11.10000002,0.110623768,3,LOEBAR,4.999999999,192.3033129
POATE2016,6.495869448,NAN,NAN,NAN,NAN,4.999999999,11.10000002,0.110623768,3,LOEBAR,4.999999999,192.3033129
POATE2016,7.204575501,NAN,NAN,NAN,NAN,4.742144445,9.97888889,0.110645206,3,LOEBAR,4.742144445,155.4193833
POATE2016,6.886611105,NAN,NAN,NAN,NAN,4.742144445,9.97888889,0.110645206,3,LOEBAR,4.742144445,155.4193833
POATE2016,6.731951623,NAN,NAN,NAN,NAN,4.644633333,9.318999999,0.110687115,3,LOEBAR,4.644633333,135.5437293
POATE2016,6.131028221,NAN,NAN,NAN,NAN,4.644633333,9.318999999,0.110687115,3,LOEBAR,4.644633333,135.5437293
POATE2016,6.606705204,NAN,NAN,NAN,NAN,4.97,10,0.111380569,3,LOEBAR,4.97,156.0776823
POATE2016,5.956948961,NAN,NAN,NAN,NAN,4.97,10,0.111380569,3,LOEBAR,4.97,156.0776823
POATE2016,6.124795381,NAN,NAN,NAN,NAN,4.97,10,0.111380569,3,LOEBAR,4.97,156.0776823
POATE2016,6.648484629,NAN,NAN,NAN,NAN,4.813044445,9.047055557,0.11122092,3,LOEBAR,4.813044445,127.7483565
POATE2016,5.827384537,NAN,NAN,NAN,NAN,4.813044445,9.047055557,0.11122092,3,LOEBAR,4.813044445,127.7483565
POATE2016,6.058261638,NAN,NAN,NAN,NAN,4.813044445,9.047055557,0.11122092,3,LOEBAR,4.813044445,127.7483565
POATE2016,5.423449777,NAN,NAN,NAN,NAN,3.267,18.09111111,0.110081986,3,LOEBAR,3.267,510.823995
POATE2016,2.743107043,NAN,NAN,NAN,NAN,2.458138889,7.480694445,0.098249667,3,LOEBAR,2.458138889,87.34230304
POATE2016,2.471147182,NAN,NAN,NAN,NAN,2.458138889,7.480694445,0.098249667,3,LOEBAR,2.458138889,87.34230304
POATE2016,2.558000303,NAN,NAN,NAN,NAN,2.458138889,7.480694445,0.098249667,3,LOEBAR,2.458138889,87.34230304
POATE2016,2.833259867,NAN,NAN,NAN,NAN,2.514638889,7.52897222,0.098249667,3,LOEBAR,2.514638889,88.47329392
POATE2016,2.484548726,NAN,NAN,NAN,NAN,2.514638889,7.52897222,0.098249667,3,LOEBAR,2.514638889,88.47329392
